text,final_text,sentiment
"Special night ⚽️⚽️⚽️ 
Well done guys!💛💙 https://t.co/dr2zVDDaaY",Special night Well done guys,Positive
Ready for tomorrow!💪🏼 https://t.co/wFpJUF89lE,Ready tomorrow,Neutral
"Football creates every emotion!
Check out my new @livescore Instagram filters! https://t.co/DyZIMPYt85",Football creates every emotion Check new Instagram filters,Neutral
"Happy founding day to Saudi Arabia 🇸🇦
Was a special experience to participate in the celebration at @AlNassrFC ! https://t.co/1SHbmHyuez",Happy founding day Saudi Arabia Was special experience participate celebration,Positive
"Parabéns por este apuramento histórico👏🏼
Vamos!💪🏼🇵🇹",Parab ns por este apuramento hist rico Vamos,Neutral
Top of the league and 3 Important points! Great team work!💪🏼👏🏼 https://t.co/ZaZTedpmaH,Top league Important points Great team work,Positive
"Dreams are not what you see in your sleep, dreams are things that do not let you sleep. Dream Fast with my new Mercurial Dream Speed 6. ⚡️💐
#NikeFC https://t.co/Am3tJVm1Ml",Dreams see sleep dreams things let sleep Dream Fast new Mercurial Dream Speed NikeFC,Positive
"Happy Valentine’s Day meu amor!❤️
So lucky to have you in my life! https://t.co/NndB9mHh6v",Happy Valentine Day meu amor So lucky life,Positive
Goals are the most important thing. Try my latest @livescore Instagram filter next time you celebrate! https://t.co/qyfl7l735S,Goals important thing Try latest Instagram filter next time celebrate,Positive
Huge congratulations to @AlNassrFC_EN women’s team on their 1st league win. Such a fantastic achievement 🏆💛💙👏🏽 https://t.co/X8kycfdqC0,Huge congratulations women team st league win Such fantastic achievement,Positive
"@NikeFootball x @Cristiano 

Move at the speed of your dreams with the new Mercurial Dream Speed 6. 

Worn by the biggest dreamers in the game, celebrate those who believe in you, and show your competitive fire every time you step on the pitch. 

Fast is the air. ⚡️
#NikeFC https://t.co/Y13LkRflfk",x Move speed dreams new Mercurial Dream Speed Worn biggest dreamers game celebrate believe show competitive fire every time step pitch Fast air NikeFC,Positive
"Great feeling to have scored 4 goals and reaching my 500th league goal in a very solid win by the team!💪🏼
⚽️⚽️⚽️⚽️ https://t.co/o2ZfV6fYBu",Great feeling scored goals reaching th league goal solid win team,Positive
"Happy to have scored my first goal in the Saudi league and great effort by whole team to achieve an important draw in a very difficult match! 💪🏼
💛💙 https://t.co/3Ll56WrkWn",Happy scored first goal Saudi league great effort whole team achieve important draw difficult match,Positive
"Good luck tomorrow!💪🏼
💛💙",Good luck tomorrow,Positive
Parabéns parceiro!👏🏼🎂 @talisca_aa https://t.co/ZXnLSTMKHQ,Parab ns parceiro,Neutral
Focused on the next game! 💪🏼 https://t.co/N1Xqf4H8Yv,Focused next game,Neutral
Hard work never stops 💪🏼 https://t.co/SpII10Vnyr,Hard work never stops,Neutral
"Looking forward to the big game tomorrow!💪🏼
Let’s go team!💙💛 https://t.co/T3EvOqcv64",Looking forward big game tomorrow Let go team,Positive
"First game, first win - well done guys 🙌🏻  Thanks to all the fans for incredible support. 💙💛 https://t.co/vmgwE8TgVo",First game first win well done guys Thanks fans incredible support,Positive
